"biz_dat.business_id" "biz_dat.name" "biz_dat.stars" "biz_dat.longitude" "biz_dat.latitude" "biz_dat.state" "biz_dat.attributes..Take.out." "biz_dat.attributes..Takes.Reservations." "biz_dat.attributes..Wi.Fi." "biz_dat.attributes.Caters" "biz_dat.review_count"
"5" "mVHrayjG3uZ_RLHkLj-AMg" "Emil's Lounge" 4.5 -79.8663507 40.408735 "PA" TRUE FALSE "no" TRUE 11
"6" "KayYbHCt-RkbGcPdGOThNg" "Alexion's Bar & Grill" 4 -80.067534 40.415517 "PA" TRUE FALSE "free" FALSE 15
"13" "b9WZJp5L1RZr4F1nxclOoQ" "Gab & Eat" 4.5 -80.0847998 40.3967441 "PA" TRUE FALSE "no" TRUE 38
"19" "rv7CY8G_XibTx82YhuqQRw" "Long John Silver's" 3.5 -80.0937037 40.3868915 "PA" TRUE FALSE "no" FALSE 3
"22" "wqu7ILomIOPSduRwoWp4AQ" "Denny's" 4 -80.073426 40.391255 "PA" TRUE FALSE "no" FALSE 7
"24" "P1fJb2WQ1mXoiudj8UE44w" "Papa J's" 3.5 -80.0854582 40.4082572 "PA" TRUE TRUE "no" TRUE 46
"26" "PK6aSizckHFWk8i0oxt5DA" "McDonald's" 2 -79.910032 40.412086 "PA" TRUE FALSE "free" FALSE 5
"30" "6ilJq_05xRgek_8qUp36-g" "Steak 'n Shake" 2 -79.9044562 40.413496 "PA" TRUE FALSE "no" FALSE 36
"32" "MKyk4F4HSzHF8v-4cYe3Ww" "Sing Sing" 3.5 -79.9151108 40.4094884 "PA" FALSE TRUE "no" FALSE 25
"37" "McikHxxEqZ2X0joaRNKlaw" "Rock Bottom" 3.5 -79.9151108 40.4094884 "PA" TRUE TRUE "no" FALSE 94
"41" "EoAY1JSVeJriBzId8lUQwQ" "Bar Louie" 2.5 -79.917508 40.4070709 "PA" TRUE TRUE "free" FALSE 46
"47" "6p9TlP2I8S4agxYMNFSDjg" "Uno Pizzeria & Grill" 3 -79.9141364 40.410967 "PA" TRUE FALSE "no" TRUE 33
"49" "JDDeaNfb0JXD1NbznSIC9g" "P F Chang's China Bistro" 3 -79.91615 40.4071112 "PA" TRUE TRUE "no" FALSE 64
"51" "FiXamVMgMf9U0VqFHDZSEA" "Panera Bread" 3 -79.9166162 40.407152 "PA" TRUE FALSE "free" TRUE 17
"58" "eznh0XjVtv924K-KYx_ilQ" "Eat'n Park Restaurant" 3 -79.9132525 40.4113236 "PA" TRUE FALSE "no" TRUE 13
"61" "usSROUMiAgPcxV3Ym0OxMQ" "Mitchell's Fish Market" 4 -79.9180894261369 40.4088783792259 "PA" TRUE TRUE "free" FALSE 73
"73" "r8BwdblCW-ZUES37BL0khw" "Marge's Place" 4.5 -80.074153 40.472505 "PA" TRUE FALSE "free" TRUE 10
"80" "Lml0-yTNsMYsP9IrSMxw9A" "China Sea Chinese Restaurant" 2.5 -80.0586009 40.4970698 "PA" TRUE FALSE "no" FALSE 6
"88" "ucKQlQvOeJxETLNkpKcaSw" "Rusty Nail" 3.5 -80.057381 40.4966408 "PA" TRUE FALSE "no" TRUE 17
"93" "ZL6DNzyenFm9Kpz6uADlNg" "Pino's Contemporary Italian Restaurant & Wine Bar" 2.5 -79.9145 40.450249 "PA" TRUE TRUE "no" TRUE 46
"100" "Y2p07YEC8xOsYTHWf0UxiA" "Tasty Chinese Restaurant" 3 -79.9251169 40.4582511 "PA" TRUE FALSE "no" TRUE 15
